mes_processamento;ano_processamento;AIH_aprovadas;internacoes;valor_total;valor_servicos_hospitalares;valor_servicos_profissionais;valor_medio_AIH;valor_medio_internacoes;dias_permanencia;media_permanencia;obitos;taxa_mortalidade
janeiro;2018;99867;99108;143158487;115416538.3;26890203.85;1433.49;1444.47;516960;5.2;4674;4.72
fevereiro;2018;95364;94610;136705143.4;110325489.3;25952698.64;1433.51;1444.93;490509;5.2;4238;4.48
março;2018;106139;105344;149829968.6;119876969;28537383.86;1411.64;1422.29;533778;5.1;4638;4.4
abril;2018;106274;105513;149894503.8;120365675.4;28183114.18;1410.45;1420.63;534974;5.1;4746;4.5
maio;2018;106289;105513;151546897.8;121822736.6;28320161.39;1425.8;1436.29;541701;5.1;4751;4.5
junho;2018;105206;104455;151514201.6;121995263.3;28116796.44;1440.17;1450.52;547517;5.2;5050;4.83
julho;2018;107468;106719;156680218.9;126069509.1;29069448.39;1457.92;1468.16;553916;5.2;4977;4.66
agosto;2018;106723;105993;154281495;124395849;28730687.83;1445.63;1455.58;547279;5.2;5004;4.72
setembro;2018;104937;104207;153867888.3;123611916;28672407.12;1466.29;1476.56;536576;5.1;4905;4.71
outubro;2018;105100;104381;151228318.7;121466838;28087998.03;1438.9;1448.81;534373;5.1;4820;4.62
novembro;2018;101051;100308;144867656.4;116094096.5;26801329.22;1433.61;1444.23;514046;5.1;4390;4.38
dezembro;2018;101342;100591;146715346.6;117195854;27166536.47;1447.72;1458.53;508864;5.1;4543;4.52
janeiro;2019;103711;102961;154066649.8;125097783.8;28355636.27;1485.54;1496.36;539678;5.2;4872;4.73
fevereiro;2019;101887;101140;147968852.8;118878547;27674498.39;1452.28;1463.01;517047;5.1;4474;4.42
março;2019;105754;105009;153459790.7;123512926.8;28521458.27;1451.1;1461.4;538435;5.1;4759;4.53
abril;2019;109134;108390;156777495.4;126038514.2;28904272.6;1436.56;1446.42;546168;5;4759;4.39
maio;2019;115602;114829;162963014.2;130674020;30183750.57;1409.69;1419.18;577781;5;5152;4.49
junho;2019;108317;107579;154830086.5;124379990.3;28691496.03;1429.42;1439.22;542606;5;5092;4.73
julho;2019;112821;112079;166207471.1;133601640.9;30864950.58;1473.2;1482.95;569275;5.1;5502;4.91
agosto;2019;111179;110444;164287071.7;131867531.3;30347956.94;1477.68;1487.51;563249;5.1;5451;4.94
setembro;2019;106983;106238;156567882.9;126184392.9;28951608.6;1463.48;1473.75;534955;5;5141;4.84
outubro;2019;111051;110323;165120780.2;133153954.4;30668093.41;1486.89;1496.7;556483;5;5173;4.69
novembro;2019;103735;103008;153006371.5;123677586.6;28211030.02;1474.97;1485.38;516253;5;4614;4.48
dezembro;2019;102326;101580;153901643.7;124582228.6;28488620.99;1504.03;1515.08;516195;5.1;4578;4.51
janeiro;2020;107064;106343;159280453.9;129797311;29137163.23;1487.71;1497.8;543262;5.1;5036;4.74
fevereiro;2020;101454;100741;150237121.5;121875601.7;27990666.94;1480.84;1491.32;510333;5.1;4569;4.54
março;2020;96695;96006;142897333.1;116074833;26686506.6;1477.82;1488.42;495390;5.2;4593;4.78
abril;2020;83065;82408;133416702.9;108858199.2;24458166.65;1606.17;1618.98;434385;5.3;4346;5.27
maio;2020;84953;84314;133520477.5;108641948.8;24793858.16;1571.7;1583.61;428086;5.1;4527;5.37
junho;2020;83384;82841;139953015.6;114194654.4;25700568.54;1678.42;1689.42;422388;5.1;4744;5.73
julho;2020;90198;89641;165962239.4;136339998.3;29527016.61;1839.98;1851.41;471099;5.3;5525;6.16
agosto;2020;90871;90322;171272718;140956884.8;30233507.46;1884.79;1896.25;471576;5.2;5969;6.61
setembro;2020;93163;92631;175362401.6;144001470.3;31215499.55;1882.32;1893.13;476690;5.1;5896;6.37
outubro;2020;95684;95148;178236450.3;146315780;31743579.85;1862.76;1873.25;478076;5;6114;6.43
novembro;2020;95321;94756;175342160.6;143850257.6;31302471.55;1839.49;1850.46;482843;5.1;5465;5.77
dezembro;2020;92741;92169;174887723.1;143512876.1;31226843.34;1885.76;1897.47;475414;5.2;5417;5.88
janeiro;2021;95100;94562;185696085.8;153271642.6;32280309.78;1952.64;1963.75;496493;5.3;6399;6.77
fevereiro;2021;95406;94824;189117380.3;155567800.1;33470416.03;1982.24;1994.4;494182;5.2;6134;6.47
março;2021;99776;99164;214175000.3;176559644.5;37559888.49;2146.56;2159.81;535086;5.4;7858;7.92
abril;2021;98774;98216;243308338.3;201880410.7;41390228.54;2463.28;2477.28;549166;5.6;9393;9.56
maio;2021;102447;101906;254115402.2;211037557.6;43040768.1;2480.46;2493.63;559844;5.5;9223;9.05
junho;2021;103236;102667;268787737.4;223490953.4;45246315.95;2603.62;2618.05;570993;5.6;8613;8.39
julho;2021;104448;103898;261663469.7;217557665.9;44030442.11;2505.2;2518.46;570659;5.5;8175;7.87
agosto;2021;104179;103590;245948544.2;204399432.8;41466581.3;2360.83;2374.25;555761;5.4;7263;7.01
setembro;2021;102384;101809;213196539.5;176368912.4;36742589.84;2082.32;2094.08;527511;5.2;6063;5.96
outubro;2021;101783;101234;196442571;161709347.5;34280918.98;1930.01;1940.48;516183;5.1;5804;5.73
novembro;2021;103800;103289;189692624.2;155068110.8;33540038.25;1827.48;1836.52;519022;5;5465;5.29
dezembro;2021;107413;106893;185052570.5;150751895.4;32933861.92;1722.81;1731.19;536190;5;5358;5.01
janeiro;2022;105244;104751;181391021.8;148830520.8;32082541.92;1723.53;1731.64;526607;5;6367;6.08
fevereiro;2022;99645;99159;186289940.1;153255895.1;32876152.65;1869.54;1878.7;506450;5.1;6129;6.18
março;2022;108235;107756;191742707.1;157321728.3;34237788.99;1771.54;1779.42;541716;5;5833;5.41
abril;2022;107176;106666;184249360.6;150417490.8;33691592.58;1719.13;1727.35;530661;5;5405;5.07
maio;2022;116627;116103;192733033.1;157254491.4;35386012.88;1652.56;1660.02;570183;4.9;5590;4.81
junho;2022;112689;112195;185577723.9;150990993.8;34450991.1;1646.81;1654.06;546788;4.9;5516;4.92
julho;2022;116148;115671;196915183.4;159106556.1;37733044.55;1695.38;1702.37;571621;4.9;5956;5.15
agosto;2022;121754;121276;207935240.1;167639535.1;40173362.18;1707.83;1714.56;601487;5;6059;5
setembro;2022;116241;115751;199761976.4;160578668.4;38684035.37;1718.52;1725.79;576143;5;5673;4.9
outubro;2022;114891;114372;197705461.3;158216019.1;38754386.46;1720.81;1728.62;565412;4.9;5392;4.71
novembro;2022;112867;112368;194518172.2;155104375.7;38561960.07;1723.43;1731.08;552851;4.9;5054;4.5
dezembro;2022;116067;115580;207421645.1;166097240.1;40440654.46;1787.09;1794.62;581107;5;5486;4.75
janeiro;2023;111575;111076;194617739.9;155959041.5;37844399.45;1744.28;1752.11;554256;5;5536;4.98
fevereiro;2023;107100;106559;179424590.6;143079906.5;35481285.51;1675.3;1683.81;527406;4.9;4984;4.68
março;2023;122773;122237;211803367.5;168564490.9;41935029.55;1725.16;1732.73;598282;4.9;5663;4.63
abril;2023;116366;115821;197275590;157387149.3;39002556.98;1695.3;1703.28;567541;4.9;5406;4.67
maio;2023;122392;121839;210513546.7;167136070.1;41638483.56;1719.99;1727.8;603388;5;5877;4.82
junho;2023;120812;120226;214162116.2;170143669.1;42053768.03;1772.69;1781.33;602507;5;5810;4.83
julho;2023;115955;115401;211011740.2;167131209.8;41342390.2;1819.77;1828.51;578919;5;5734;4.97
